"Date","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2015-02-28,"48114","MI","Detroit","Livingston","Brighton",4641,249400,0.00281463610776035,0.00564516129032258,0.0448261416003351,0.060988085681817,-0.00672143748585485,"2006-01","2006-Q1",273600,-0.0884502923976608,"2002-07"
2015-02-28,"01581","MA","Worcester","Worcester","Westborough",4642,402800,0.00775581686264699,0.0148652053413958,0.0220756153260594,0.0169676777300041,-0.00560760830479301,"2005-07","2005-Q3",437200,-0.0786825251601098,"2004-06"
2015-02-28,"80246","CO","Denver","Denver","Denver",4643,332300,0.0152765047357165,0.0512496045555204,0.24971793907484,0.0722041870387498,0.0374812354477501,"2015-02","2015-Q1",332300,0,"2015-02"
2015-02-28,"35976","AL","Albertville","Marshall","Guntersville",4644,139900,0.00502873563218391,0.00937950937950938,0.0234089246525238,0.0208258803687966,0.0308935009611151,"2015-02","2015-Q1",139900,0,"2015-02"
2015-02-28,"49058","MI","Grand Rapids","Barry","Hastings Township",4645,109500,-0.00273224043715847,-0.00544959128065395,0.0714285714285714,0.0312161486829983,-0.00436808501297814,"2006-10","2006-Q4",124100,-0.117647058823529,"2003-03"
2015-02-28,"18640","PA","Scranton","Luzerne","Pittston Township",4646,82600,0.00242718446601942,-0.00241545893719807,0.00364520048602673,-0.013926551147266,,"2006-06","2006-Q2",92900,-0.110871905274489,
2015-02-28,"02871","RI","Providence","Newport","Portsmouth",4647,315700,-0.00315756236185665,-0.0155908949173683,-0.0232054455445545,-0.00640042660964923,-0.0168823898918646,"2006-08","2006-Q3",405000,-0.220493827160494,"2003-09"
2015-02-28,"33168","FL","Miami-Fort Lauderdale","Miami-Dade","North Miami",4648,126500,0.0242914979757085,0.0738539898132428,0.036036036036036,0.0134939398219582,-0.0254498680785334,"2007-02","2007-Q1",251900,-0.497816593886463,"2004-01"
2015-02-28,"23226","VA","Richmond","Richmond City","Richmond",4649,255600,-0.00117233294255569,-0.00930232558139535,-0.0131274131274131,0.00941512953786394,0.0119370551901823,"2014-07","2014-Q3",261800,-0.0236822001527884,"2014-01"
2015-02-28,"48184","MI","Detroit","Wayne","Wayne",4650,63400,-0.0015748031496063,0.0176565008025682,0.0912220309810671,0.0200829133836329,-0.066079385230554,"2004-12","2004-Q4",126600,-0.499210110584518,
2015-02-28,"49512","MI","Grand Rapids","Kent","Kentwood",4651,156800,0.0077120822622108,0.0168612191958495,0.0813793103448276,0.0325424608968314,-0.00574532301309505,"2005-03","2005-Q1",166100,-0.0559903672486454,"2002-03"
2015-02-28,"73109","OK","Oklahoma City","Oklahoma","Oklahoma City",4652,55500,0.00180505415162455,0.00180505415162455,0.0239852398523985,0.0135032018605328,0.0121218206180178,"2015-02","2015-Q1",55500,0,"2015-02"
2015-02-28,"91731","CA","Los Angeles","Los Angeles","El Monte",4653,410700,0.00686442755577347,0.0186011904761905,0.034248300176278,0.0503228057492147,0.00959379168518826,"2006-08","2006-Q3",460900,-0.108917335647646,"2005-07"
2015-02-28,"11422","NY","New York","Queens","New York",4654,386500,0.00259403372243839,0.0033748701973001,0.0033748701973001,0.010573062527355,0.00962361262105227,"2007-05","2007-Q2",471600,-0.180449533502969,"2005-10"
2015-02-28,"20024","DC","Washington","District of Columbia","Washington",4655,343600,0.00644405389572349,0.0156665681347916,0.0281268701376421,0.0295782066480177,0.0199897509923717,"2015-02","2015-Q1",343600,0,"2015-02"
