"RegionType","RegionName","State","CBSA Title","SizeRankCity","SizeRankMetro","SaleToListPrice","PctPriceCut","DaysOnMarket","BuyerSellerIndex","BuyerSellerIndexMetro"
"Zip","30075","GA","Atlanta-Sandy Springs-Marietta, GA",1426,8,0.9736,12.7295,89.5,3.53982300884956,4.45161290322581
"Zip","30004","GA","Atlanta-Sandy Springs-Marietta, GA",1346,8,0.9672,10.3989,91,3.89380530973451,4.45161290322581
"Zip","30223","GA","Atlanta-Sandy Springs-Marietta, GA",2320,8,0.9573,15.2216,103.5,9.46902654867257,4.45161290322581
"Zip","30064","GA","Atlanta-Sandy Springs-Marietta, GA",1714,8,0.9723,13.9394,105,7.69911504424779,4.45161290322581
"Zip","30315","GA","Atlanta-Sandy Springs-Marietta, GA",2563,8,0.9471,16.0256,94,9.20353982300885,4.45161290322581
"Zip","30338","GA","Atlanta-Sandy Springs-Marietta, GA",2173,8,0.9697,12.7803,90.5,5.39823008849558,4.45161290322581
"Zip","30087","GA","Atlanta-Sandy Springs-Marietta, GA",2312,8,0.9789,15.493,108.5,7.34513274336283,4.45161290322581
"Zip","30180","GA","Atlanta-Sandy Springs-Marietta, GA",2342,8,0.9685,14.6305,124,9.82300884955752,4.45161290322581
"Zip","30093","GA","Atlanta-Sandy Springs-Marietta, GA",1662,8,0.985,9.1255,70.5,0.0884955752212389,4.45161290322581
"Zip","30349","GA","Atlanta-Sandy Springs-Marietta, GA",883,8,0.9852,13.0095,99,3.00884955752212,4.45161290322581
"Zip","30066","GA","Atlanta-Sandy Springs-Marietta, GA",1331,8,0.9663,13.8255,102,8.31858407079646,4.45161290322581
"Zip","30144","GA","Atlanta-Sandy Springs-Marietta, GA",1452,8,0.9747,9.4139,80,0.530973451327434,4.45161290322581
"Zip","30058","GA","Atlanta-Sandy Springs-Marietta, GA",1403,8,0.9939,12.4538,96,1.5929203539823,4.45161290322581
"Zip","30114","GA","Atlanta-Sandy Springs-Marietta, GA",1660,8,0.9756,12.8017,109,6.72566371681416,4.45161290322581
"Zip","30126","GA","Atlanta-Sandy Springs-Marietta, GA",2052,8,0.9684,13.3987,112,8.93805309734513,4.45161290322581
"Zip","30110","GA","Atlanta-Sandy Springs-Marietta, GA",3770,8,0.957983193277311,8.5,111,6.8141592920354,4.45161290322581
"Zip","30121","GA","Atlanta-Sandy Springs-Marietta, GA",3442,8,0.9717,14.3678,85,5.04424778761062,4.45161290322581
"Zip","30316","GA","Atlanta-Sandy Springs-Marietta, GA",2188,8,0.9826,13.1498,100,3.71681415929204,4.45161290322581
"Zip","30188","GA","Atlanta-Sandy Springs-Marietta, GA",1177,8,0.9674,11.7944,89,4.33628318584071,4.45161290322581
"Zip","30277","GA","Atlanta-Sandy Springs-Marietta, GA",3598,8,0.9807,15.3846,103,6.28318584070797,4.45161290322581
"Zip","30344","GA","Atlanta-Sandy Springs-Marietta, GA",2442,8,0.9454,16.2528,126,10,4.45161290322581
"Zip","30224","GA","Atlanta-Sandy Springs-Marietta, GA",3074,8,0.9759,13.8728,135,8.76106194690266,4.45161290322581
"Zip","30263","GA","Atlanta-Sandy Springs-Marietta, GA",1408,8,0.9619,12.3393,107.5,8.67256637168142,4.45161290322581
"Zip","30022","GA","Atlanta-Sandy Springs-Marietta, GA",1143,8,0.9728,13.8677,87.5,4.69026548672566,4.45161290322581
"Zip","30306","GA","Atlanta-Sandy Springs-Marietta, GA",2830,8,0.9674,12.3209,86,4.60176991150442,4.45161290322581
"Zip","30252","GA","Atlanta-Sandy Springs-Marietta, GA",2310,8,0.9797,13.7466,104.5,5.75221238938053,4.45161290322581
"Zip","30102","GA","Atlanta-Sandy Springs-Marietta, GA",2259,8,0.9855,10.2564,99.5,1.15044247787611,4.45161290322581
"Zip","30305","GA","Atlanta-Sandy Springs-Marietta, GA",2432,8,0.9569,14.2123,96,8.84955752212389,4.45161290322581
"Zip","30907","GA","Augusta-Richmond County, GA-SC",1457,73,0.9725,10.8833,110,5,4.90322580645161
"Zip","30809","GA","Augusta-Richmond County, GA-SC",1905,73,0.9772,7.1151,114,2,4.90322580645161
"Zip","30909","GA","Augusta-Richmond County, GA-SC",1333,73,0.9665,9.2593,123.5,7,4.90322580645161
"Zip","29803","SC","Augusta-Richmond County, GA-SC",1840,73,0.9589,7.2394,165,8,4.90322580645161
