"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2015-02-28,"60617","IL","Chicago","Cook","Chicago",88,1233,0.0024390243902439,-0.0190930787589499,-0.026835043409629,18240
2015-02-28,"19143","PA","Philadelphia","Philadelphia","Philadelphia",89,929,-0.00535331905781585,-0.00535331905781585,0.0485327313769752,21068
2015-02-28,"33160","FL","Miami-Fort Lauderdale","Miami-Dade","Sunny Isles Beach",90,2178,0.00461254612546125,0.0259067357512953,0.106707317073171,26111
2015-02-28,"90026","CA","Los Angeles","Los Angeles","Los Angeles",91,2670,0.0144376899696049,0.0536700868192581,0.149870801033592,4838
2015-02-28,"11355","NY","New York","Queens","New York",92,2212,0.00226551880380607,0.0156106519742883,0.0784982935153584,5270
2015-02-28,"48197","MI","Ann Arbor","Washtenaw","Ypsilanti",93,1463,0.00827015851137147,-0.00611413043478261,0.0717948717948718,14986
2015-02-28,"73099","OK","Oklahoma City","Canadian","Yukon",94,1304,-0.000766283524904215,-0.0121212121212121,0.0457097032878909,22872
2015-02-28,"33411","FL","Miami-Fort Lauderdale","Palm Beach","Royal Palm Beach",95,1794,-0.00277932184546971,-0.0121145374449339,0.0292598967297762,25988
2015-02-28,"10314","NY","New York","Richmond","New York",96,2121,-0.00375763269140442,-0.0189639222941721,0.0474074074074074,17181
2015-02-28,"20002","DC","Washington","District of Columbia","Washington",97,2469,0.00693311582381729,0.011470708725932,0.020669698222406,12366
2015-02-28,"91910","CA","San Diego","San Diego","Chula Vista",98,2189,0.00689972401103956,0.0157772621809745,0.0384250474383302,14526
2015-02-28,"11215","NY","New York","Kings","New York",99,2736,0.00366837857666911,0.0220395965633171,0.00109769484083425,3543
2015-02-28,"87111","NM","Albuquerque","Bernalillo","Albuquerque",100,1314,0.0170278637770898,0.0571198712791633,0.0186046511627907,17742
2015-02-28,"77379","TX","Houston","Harris","Spring",101,1882,0.00373333333333333,0.0112842557764643,0.0432372505543237,21849
2015-02-28,"85710","AZ","Tucson","Pima","Tucson",102,1048,0,-0.00380228136882129,0.0155038759689922,16350
2015-02-28,"95630","CA","Sacramento","Sacramento","Folsom",103,1912,0.0036745406824147,0,0.0235546038543897,17095
2015-02-28,"75067","TX","Dallas-Fort Worth","Denton","Lewisville",104,1529,0.00262295081967213,0.00525969756738988,0.0303234501347709,10817
2015-02-28,"94558","CA","Napa","Napa","Napa",105,2398,0.0101095197978096,0.0156713257094452,0.0865428183053919,15428
2015-02-28,"78745","TX","Austin","Travis","Austin",106,1705,0.0160905840286055,0.0511713933415536,0.107142857142857,5020
2015-02-28,"78577","TX","McAllen","Hidalgo","Pharr",107,968,0.017875920084122,0.0189473684210526,-0.0202429149797571,14000
2015-02-28,"08701","NJ","New York","Ocean","Lakewood Township",108,1719,0.00350262697022767,-0.013203214695752,0.0183649289099526,19557
2015-02-28,"02169","MA","Boston","Norfolk","Quincy",109,2162,0.0150234741784038,0.0265906932573599,0.0924709449216776,10916
2015-02-28,"23462","VA","Virginia Beach","Virginia Beach City","Virginia Beach",110,1317,0.00152091254752852,0.00304645849200305,0.016988416988417,19126
2015-02-28,"06010","CT","Hartford","Hartford","Bristol",111,1465,0.0103448275862069,0.0309641097818438,0.0471765546819157,16412
2015-02-28,"30281","GA","Atlanta","Henry","Stockbridge",112,1075,-0.000929368029739777,-0.00185701021355617,0.0103383458646617,17800
2015-02-28,"78666","TX","Austin","Hays","San Marcos",113,1310,0.00460122699386503,-0.00152439024390244,0.0266457680250784,9148
2015-02-28,"85308","AZ","Phoenix","Maricopa","Glendale",114,1345,-0.000742942050520059,0.000744047619047619,0.0458786936236392,21050
2015-02-28,"78240","TX","San Antonio","Bexar","San Antonio",115,1288,0.00389711613406079,0.00861393891934221,0.0437601296596434,9700
2015-02-28,"11221","NY","New York","Kings","New York",116,2461,0.000813338755591704,0.0161023947151115,-0.0199123855037834,537
2015-02-28,"17603","PA","Lancaster","Lancaster","Lancaster Township",117,998,0.00200803212851406,-0.002,0.0494216614090431,16939
2015-02-28,"95608","CA","Sacramento","Sacramento","Carmichael",118,1909,-0.000523560209424084,-0.0240286298568507,0.0235924932975871,723
2015-02-28,"32210","FL","Jacksonville","Duval","Jacksonville",119,999,0,0.00604229607250755,0.0152439024390244,18528
2015-02-28,"30024","GA","Atlanta","Gwinnett","Suwanee",120,1782,-0.000560852495793606,0.00450958286358512,0.0421052631578947,19848
2015-02-28,"85225","AZ","Phoenix","Maricopa","Chandler",121,1224,0.00492610837438424,0.00740740740740741,0.0399320305862362,18899
2015-02-28,"93722","CA","Fresno","Fresno","Fresno",122,1274,0.00552486187845304,0.0282485875706215,0.0357723577235772,18653
2015-02-28,"33024","FL","Miami-Fort Lauderdale","Broward","Pembroke Pines",123,1674,0.00419916016796641,0.00661455201443175,0.0170109356014581,20460
2015-02-28,"43055","OH","Columbus","Licking","Newark",124,806,0.00498753117206983,-0.00982800982800983,0.0125628140703518,19139
2015-02-28,"48180","MI","Detroit","Wayne","Taylor",125,918,0.00327868852459016,0.0337837837837838,0.0674418604651163,21121
2015-02-28,"11385","NY","New York","Queens","New York",126,2077,0.0111976630963973,0.0359102244389027,0.0880041906757465,2911
2015-02-28,"60610","IL","Chicago","Cook","Chicago",127,1955,-0.00862068965517241,-0.0514313440077632,-0.0605478135511773,19880
2015-02-28,"11373","NY","New York","Queens","New York",128,2130,0.00093984962406015,0.00282485875706215,0.058648111332008,3631
2015-02-28,"80013","CO","Denver","Arapahoe","Aurora",129,1706,0.0136660724896019,0.0408785845027456,0.104922279792746,22887
2015-02-28,"90066","CA","Los Angeles","Los Angeles","Los Angeles",130,3858,0.000778210116731518,0.0182106096595408,0.223208623969562,10926
2015-02-28,"98052","WA","Seattle","King","Redmond",131,2368,0.00338983050847458,0.0115335326783426,0.0557289344627731,16219
2015-02-28,"10028","NY","New York","New York","New York",132,4676,0.0171851207309115,0.0444494080857717,0.283205268935236,2366
2015-02-28,"20906","MD","Washington","Montgomery","Silver Spring",133,1945,0.00257731958762887,0.0067287784679089,0.0323779193205945,20372
2015-02-28,"89108","NV","Las Vegas","Clark","Las Vegas",134,1032,0.00291545189504373,0.00389105058365759,0.0403225806451613,17976
2015-02-28,"14850","NY","Ithaca","Tompkins","Ithaca",135,1732,0.00289519397799653,-0.00801832760595647,0.0254588513913558,9485
2015-02-28,"78704","TX","Austin","Travis","Austin",136,2242,0.00403045230631438,0.00448028673835125,0.0447343895619758,9654
2015-02-28,"87114","NM","Albuquerque","Bernalillo","Albuquerque",137,1237,0.0164338537387017,0.0627147766323024,0.0106209150326797,18455
2015-02-28,"65807","MO","Springfield","Greene","Springfield",138,801,0,0.00628140703517588,0.00501882057716437,15478
2015-02-28,"94533","CA","Vallejo","Solano","Fairfield",139,1616,0.013166144200627,0.0169918187539333,0.0473104342190538,16606
2015-02-28,"44060","OH","Cleveland","Lake","Mentor",140,1337,0.012112036336109,0.00149812734082397,0.0713141025641026,23401
2015-02-28,"85364","AZ","Yuma","Yuma","Yuma",141,897,-0.00443951165371809,0.00560538116591928,0.0274914089347079,15935
2015-02-28,"43081","OH","Columbus","Franklin","Westerville",142,1418,0.00710227272727273,0.0150322118826056,0.0582089552238806,18023
2015-02-28,"33009","FL","Miami-Fort Lauderdale","Broward","Hallandale",143,1620,0.00558659217877095,0.0150375939849624,0.0451612903225806,19332
2015-02-28,"60634","IL","Chicago","Cook","Chicago",144,1676,-0.0187353629976581,-0.045014245014245,-0.0317735413056037,18972
2015-02-28,"08753","NJ","New York","Ocean","Toms River",145,1742,0.0069364161849711,-0.0174844895657078,-0.0428571428571429,23486
2015-02-28,"95823","CA","Sacramento","Sacramento","Sacramento",146,1286,0.00547302580140735,0.0125984251968504,0.0190174326465927,15433
2015-02-28,"91709","CA","Riverside","San Bernardino","Chino Hills",147,2264,-0.00439753737906772,-0.0194889562581204,-0.00088261253309797,20768
2015-02-28,"92804","CA","Los Angeles","Orange","Anaheim",148,2319,0.000431406384814495,0.00216076058772688,0.0122217372326495,12452
2015-02-28,"92677","CA","Los Angeles","Orange","Laguna Niguel",149,3151,0.00190779014308426,0.0122068743976871,0.0605856613934702,21487
2015-02-28,"27410","NC","Greensboro","Guilford","Greensboro",150,1299,0.000770416024653313,-0.0218373493975904,-0.0225733634311512,18288
2015-02-28,"90019","CA","Los Angeles","Los Angeles","Los Angeles",151,3131,0.0113049095607235,0.0370983769460086,0.204694113120431,4897
2015-02-28,"60611","IL","Chicago","Cook","Chicago",152,2098,-0.0177902621722846,-0.0667259786476868,-0.0485260770975057,21603
2015-02-28,"92109","CA","San Diego","San Diego","San Diego",153,2874,0.00771388499298738,0.020234291799787,0.0739910313901345,10453
2015-02-28,"11236","NY","New York","Kings","New York",154,1875,-0.00265957446808511,-0.0234375,-0.0671641791044776,3907
2015-02-28,"91911","CA","San Diego","San Diego","Chula Vista",155,2038,0.00542673902318698,0.0114143920595534,0.046738572162301,14052
2015-02-28,"37075","TN","Nashville","Sumner","Hendersonville",156,1604,0.00753768844221105,0.0476812540822992,0.103922918100482,20499
2015-02-28,"60620","IL","Chicago","Cook","Chicago",157,1271,-0.000786163522012579,-0.0230591852421214,-0.0260536398467433,13221
2015-02-28,"94536","CA","San Francisco","Alameda","Fremont",158,2747,0.012532252119425,0.0223297357647935,0.118940936863544,17512
2015-02-28,"43123","OH","Columbus","Franklin","Grove City",159,1263,0.000792393026941363,0.000792393026941363,0.0352459016393443,19834
2015-02-28,"60628","IL","Chicago","Cook","Chicago",160,1222,-0.00163398692810458,-0.0247406225059856,-0.038552321007081,18592
2015-02-28,"44256","OH","Cleveland","Medina","Medina",161,1439,-0.0170765027322404,-0.0381016042780749,-0.00690131124913734,19457
2015-02-28,"60016","IL","Chicago","Cook","Des Plaines",162,1569,-0.00444162436548223,-0.0272783632982021,-0.0496668685645064,20764
2015-02-28,"02148","MA","Boston","Middlesex","Malden",163,2089,0.0126030053320407,0.035183349851338,0.0863234529381175,7564
2015-02-28,"45011","OH","Cincinnati","Butler","Hamilton",164,1415,-0.00632022471910112,-0.0159944367176634,0.0201874549387167,20023
2015-02-28,"33025","FL","Miami-Fort Lauderdale","Broward","Miramar",165,1585,0,0.00762873490146217,0.0305591677503251,18024
