"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"Zip","01585","Town of West Brookfield","MA","Worcester, MA","Worcester, MA",,6.7147497134123,,,,208600,0.675675675675676,12.3922413793103,,28,0.204580152671756,0.0895522388059701,115.5
"Zip","01588","Whitinsville","MA","Worcester, MA","Worcester, MA",,4.65513947267864,,,,232000,0.519930675909879,2.70030987162461,,10.2,0.215727209464161,0.0967741935483871,115.5
"Zip","01590","Sutton","MA","Worcester, MA","Worcester, MA",,5.52063431410012,,,,303700,0.59622391520371,-0.393571662840276,,8.6,0.120075046904315,0.114583333333333,115.5
"Zip","01602","Worcester","MA","Worcester, MA","Worcester, MA",,2.24302636606802,,,,195800,0.153452685421995,1.45077720207254,,19.2,0.233418367346939,0.092896174863388,129
"Zip","01603","Worcester","MA","Worcester, MA","Worcester, MA",,1.88765762323271,,,7.3961,159700,0.693568726355612,5.62169312169312,,50.6,0.364872213159326,0.120715350223547,129
"Zip","01604","Worcester","MA","Worcester, MA","Worcester, MA",,2.93465800534964,,,,178400,0.677200902934537,4.69483568075117,,42.6,0.28209242618742,0.0978384527872582,129
"Zip","01605","Worcester","MA","Worcester, MA","Worcester, MA",,1.69468857470386,,,4.5743,184500,0.544959128065395,1.31795716639209,,46.6,0.271948608137045,0.133858267716535,129
"Zip","01606","Worcester","MA","Worcester, MA","Worcester, MA",,4.45261750095529,,,1.7564,184800,0.544069640914037,-1.70212765957447,,22.2,0.250081619327457,0.0718015665796345,129
"Zip","01607","Worcester","MA","Worcester, MA","Worcester, MA",,1.739587313718,,,6.3154,163600,0.738916256157635,4.53674121405751,,60.7,0.341463414634146,0.121848739495798,129
"Zip","01609","Worcester","MA","Worcester, MA","Worcester, MA",,4.4239587313718,,,,252600,0.637450199203187,-0.197550375345713,,17.6,0.229618548990277,0.0586319218241042,129
"Zip","01610","Worcester","MA","Worcester, MA","Worcester, MA",,2.17615590370653,,,,135200,1.12191473448018,2.65755504935459,,48.1,0.350404312668464,0.123076923076923,129
"Zip","01611","Leicester","MA","Worcester, MA","Worcester, MA",,0.597057699656095,,,,181700,-0.219659527732015,-0.980926430517711,,,0.188356164383562,0.127272727272727,115.5
"Zip","01612","Paxton","MA","Worcester, MA","Worcester, MA",,5.09457393962553,,,,257800,0.624512099921936,-0.578480524489009,,12,0.16726403823178,0.0857142857142857,115.5
"Zip","01701","Framingham","MA","Boston, MA","Boston-Cambridge-Quincy, MA-NH",,6.05846388995032,,,,346300,0.202546296296296,0.231548480463097,,11.4,0.0811988151245862,0.092274678111588,88.5
"Zip","01702","Framingham","MA","Boston, MA","Boston-Cambridge-Quincy, MA-NH",,5.73366450133741,,,,266400,0.528301886792453,2.65895953757225,,27.4,0.175489485134155,0.0743801652892562,88.5
"Zip","01719","Boxboro","MA","Boston, MA","Boston-Cambridge-Quincy, MA-NH",,9.77168513565151,,,,492700,1.21199671322925,7.29529616724739,,22.7,0.0809128630705394,0.0256410256410256,88.5
"Zip","01720","Acton","MA","Boston, MA","Boston-Cambridge-Quincy, MA-NH",,8.94631257164692,,,,494900,0.650803335367094,0.671277461350692,,13.7,0.0663278951591335,0.032258064516129,88.5
"Zip","01721","Ashland","MA","Boston, MA","Boston-Cambridge-Quincy, MA-NH",,8.21646923958731,,,,342000,0.558659217877095,4.52322738386308,,9.6,0.0999417249417249,0.0787172011661808,88.5
"Zip","01730","Bedford","MA","Boston, MA","Boston-Cambridge-Quincy, MA-NH",,9.75640045854031,,,,593900,1.17546848381601,1.31354486523371,,3.1,0.0345911949685535,0.0151515151515152,88.5
"Zip","01740","Bolton","MA","Worcester, MA","Worcester, MA",,8.2776079480321,,,,450400,0.244825283774761,1.3273340832396,,9.7,0.0657229524772497,0.0153846153846154,115.5
"Zip","01741","Carlisle","MA","Boston, MA","Boston-Cambridge-Quincy, MA-NH",,9.53190676346962,,,,749800,1.29694677114293,0.955971455500202,,4.4,0.0301274623406721,0.0384615384615385,88.5
"Zip","01742","Concord","MA","Boston, MA","Boston-Cambridge-Quincy, MA-NH",,9.93790599923577,,,,812900,1.14470573597113,6.38659861274702,,6.7,0.0312866640594447,0.0125,88.5
"Zip","01746","Holliston","MA","Boston, MA","Boston-Cambridge-Quincy, MA-NH",,6.70233091325946,,,,377100,0.399361022364217,-2.40683229813665,,7,0.0461309523809524,0.0967741935483871,88.5
"Zip","01747","Town of Hopedale","MA","Worcester, MA","Worcester, MA",,6.9124952235384,,,,267000,0.830815709969789,3.08880308880309,,9.4,0.142345568487019,0.0943396226415094,115.5
"Zip","01748","Town of Hopkinton","MA","Boston, MA","Boston-Cambridge-Quincy, MA-NH",,7.37103553687428,,,,515600,0.369865680358186,0.644153816123365,,10.1,0.0543775649794802,0.0754716981132075,88.5
