UNITID,XLINE_10,LINE_10,XLINE_45,LINE_45,XLINE_50,LINE_50,XLINE_55,LINE_55,XLINE_11,LINE_11,XLINE_30,LINE_30,XLINE_51,LINE_51,XLINE_52,LINE_52 
444440,"R",90,"R",2,"R",88,"R",84,"R",84,"Z",0,"R",0,"R",4
444468,"R",22,"R",0,"R",22,"R",6,"R",15,"R",0,"R",0,"R",7
444486,"R",145,"R",0,"R",145,"R",2,"R",75,"R",4,"R",5,"R",61
444510,"R",14,"R",0,"R",14,"R",12,"R",13,"R",0,"R",0,"R",1
444529,"R",199,"R",0,"R",199,"R",150,"R",177,"R",0,"R",0,"R",22
444556,"R",74,"R",0,"R",74,"R",30,"R",31,"R",1,"R",0,"R",42
444583,"R",552,"R",0,"R",552,"R",54,"R",416,"R",0,"R",0,"R",136
444644,"R",7,"R",0,"R",7,"R",7,"R",7,"R",0,"R",0,"R",0
444653,"R",2,"R",0,"R",2,"R",0,"R",1,"R",0,"R",0,"R",1
444662,"R",48,"R",0,"R",48,"R",48,"R",48,"R",0,"R",0,"R",0
444671,"R",21,"R",0,"R",21,"R",15,"R",15,"R",0,"R",0,"R",6
444680,"R",50,"Z",0,"R",50,"R",8,"R",42,"R",0,"R",8,"R",0
444705,"R",24,"R",0,"R",24,"R",14,"R",18,"Z",0,"Z",0,"R",6
444732,"R",157,"R",0,"R",157,"R",32,"R",43,"R",0,"R",82,"R",32
444750,"R",6,"R",0,"R",6,"R",1,"R",1,"R",0,"R",5,"R",0
444769,"R",23,"R",0,"R",23,"R",14,"R",19,"R",0,"R",0,"R",4
444796,"R",402,"R",1,"R",401,"R",68,"R",250,"R",0,"R",0,"R",151
444857,"R",10,"R",0,"R",10,"R",4,"R",10,"R",0,"R",0,"R",0
444866,"R",124,"Z",0,"R",124,"R",77,"R",83,"Z",0,"Z",0,"R",41
444893,"R",314,"R",0,"R",314,"R",28,"R",197,"R",0,"R",1,"R",116
444936,"R",41,"R",2,"R",39,"R",36,"R",38,"R",0,"R",0,"R",1
444945,"R",168,"R",0,"R",168,"R",72,"R",100,"R",0,"R",0,"R",68
445212,"R",136,"R",0,"R",136,"R",0,"R",97,"R",0,"R",7,"R",32
445221,"R",53,"R",0,"R",53,"R",9,"R",17,"R",0,"R",0,"R",36
445364,"R",276,"R",0,"R",276,"R",141,"R",194,"R",0,"R",1,"R",81
445373,"R",419,"R",0,"R",419,"R",226,"R",258,"R",0,"R",0,"R",161
445382,"R",600,"R",1,"R",599,"R",292,"R",368,"R",0,"R",0,"R",231
445461,"R",1033,"R",0,"R",1033,"R",608,"R",658,"R",0,"R",0,"R",375
445498,"R",12,"R",0,"R",12,"R",0,"R",10,"R",0,"R",0,"R",2
445504,"R",28,"R",0,"R",28,"R",0,"R",15,"R",0,"R",0,"R",13
445531,"R",34,"R",0,"R",34,"R",5,"R",15,"R",0,"R",9,"R",10
445540,"R",63,"R",0,"R",63,"R",29,"R",47,"R",0,"R",6,"R",10
445577,"R",95,"R",0,"R",95,"R",75,"R",85,"R",0,"R",0,"R",10
445638,"R",6,"R",0,"R",6,"R",4,"R",5,"R",0,"R",0,"R",1
445647,"R",17,"R",0,"R",17,"R",14,"R",16,"R",1,"R",0,"R",0
445656,"R",8,"R",0,"R",8,"R",1,"R",5,"R",0,"R",0,"R",3
445665,"R",311,"Z",0,"R",311,"R",37,"R",97,"Z",0,"Z",0,"R",214
445683,"R",42,"R",0,"R",42,"R",4,"R",6,"Z",0,"R",0,"R",36
445771,"R",417,"R",1,"R",416,"R",292,"R",320,"R",0,"R",0,"R",96
445841,"R",61,"R",0,"R",61,"R",6,"R",41,"R",1,"R",0,"R",19
445850,"R",73,"R",0,"R",73,"R",11,"R",44,"R",3,"R",0,"R",26
445896,"R",47,"R",0,"R",47,"R",24,"R",31,"R",0,"R",0,"R",16
445911,"R",531,"R",0,"R",531,"R",123,"R",323,"Z",0,"R",3,"R",205
445984,"R",20,"R",0,"R",20,"R",13,"R",13,"R",0,"R",0,"R",7
445993,"R",217,"R",0,"R",217,"R",25,"R",148,"R",2,"R",3,"R",64
446057,"R",27,"R",0,"R",27,"R",17,"R",21,"R",0,"R",0,"R",6
446075,"R",20,"R",0,"R",20,"R",3,"R",10,"R",0,"R",7,"R",3
446109,"R",182,"R",0,"R",182,"R",0,"R",148,"R",0,"R",0,"R",34
446118,"R",432,"R",0,"R",432,"R",377,"R",429,"R",0,"Z",0,"R",3
446145,"R",2,"R",0,"R",2,"R",0,"R",0,"R",0,"R",0,"R",2
446190,"R",21,"R",0,"R",21,"R",10,"R",15,"R",0,"R",0,"R",6
446206,"R",22,"Z",0,"R",22,"Z",0,"R",17,"R",2,"Z",0,"R",3
446251,"R",21,"R",0,"R",21,"R",3,"R",4,"R",0,"R",2,"R",15
446260,"R",92,"Z",0,"R",92,"R",54,"R",79,"R",1,"Z",0,"R",12
446288,"R",54,"R",0,"R",54,"R",0,"R",37,"R",0,"R",0,"R",17
446349,"R",29,"R",0,"R",29,"R",0,"R",15,"R",0,"R",0,"R",14
446437,"R",62,"R",0,"R",62,"R",11,"R",39,"R",0,"R",3,"R",20
446455,"R",56,"R",0,"R",56,"R",51,"R",52,"R",0,"R",0,"R",4
446464,"R",41,"R",0,"R",41,"R",22,"R",25,"R",0,"R",0,"R",16
446507,"R",11,"R",0,"R",11,"R",10,"R",10,"R",1,"R",0,"R",0
446516,"R",27,"R",0,"R",27,"R",16,"R",17,"R",0,"R",0,"R",10
446534,"R",81,"R",0,"R",81,"R",13,"R",44,"R",0,"R",0,"R",37
446543,"R",31,"R",0,"R",31,"R",21,"R",21,"R",0,"R",9,"R",1
446570,"R",18,"R",0,"R",18,"R",0,"R",15,"R",0,"R",1,"R",2
446589,"R",99,"R",0,"R",99,"R",87,"R",87,"R",0,"R",0,"R",12
446853,"R",117,"R",0,"R",117,"R",94,"R",98,"R",0,"R",0,"R",19
446996,"R",69,"Z",0,"R",69,"Z",0,"R",41,"Z",0,"Z",0,"R",28
447023,"R",521,"Z",0,"R",521,"Z",0,"R",402,"Z",0,"Z",0,"R",119
447148,"R",114,"R",0,"R",114,"R",2,"R",68,"R",0,"R",0,"R",46
447157,"R",35,"R",0,"R",35,"R",0,"R",23,"R",0,"R",0,"R",12
447209,"R",712,"R",0,"R",712,"R",349,"R",404,"R",0,"R",0,"R",308
